event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,arpdau,matches_started,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-23,,ios,287,0.0,2.41,0.01,437,1.52,0.5967,0.4033,0.04
2024-02-23,Benin,ios,13,0.0,0.09,0.01,56,4.31,0.7,0.3,0.08
2024-02-23,Montenegro,ios,40,0.0,0.36,0.01,246,6.15,0.5405,0.4595,0.07
2024-02-23,Myanmar (Burma),ios,39,0.0,0.27,0.01,150,3.85,0.6619,0.3381,0.03
2024-02-23,Guam,ios,6,0.0,0.05,0.01,25,4.17,0.5,0.5,0.0
2024-02-23,Bermuda,ios,2,0.0,0.03,0.01,10,5.0,0.6667,0.3333,0.0
2024-02-23,Côte d’Ivoire,ios,15,0.0,0.13,0.01,25,1.67,0.4375,0.5625,0.0
2024-02-23,Nepal,ios,30,0.0,0.23,0.01,110,3.67,0.6354,0.3646,0.0
2024-02-23,Kenya,ios,15,0.0,0.14,0.01,90,6.0,0.5395,0.4605,0.07
2024-02-23,Cayman Islands,ios,3,0.0,0.03,0.01,6,2.0,0.5,0.5,0.0
2024-02-23,Iceland,ios,20,0.0,0.19,0.01,79,3.95,0.6563,0.3438,0.1
2024-02-23,Libya,ios,29,0.0,0.27,0.01,78,2.69,0.7,0.3,0.0
2024-02-23,Sri Lanka,ios,21,0.0,0.17,0.01,124,5.9,0.5922,0.4078,0.05
2024-02-23,Yemen,ios,12,0.0,0.1,0.01,98,8.17,0.4943,0.5057,0.0
2024-02-23,Bolivia,ios,24,0.0,0.14,0.01,84,3.5,0.68,0.32,0.0
2024-02-23,Honduras,ios,18,0.0,0.11,0.01,86,4.78,0.6351,0.3649,0.0
2024-02-23,Turkmenistan,ios,11,0.0,0.09,0.01,20,1.82,0.8235,0.1765,0.0
2024-02-23,Tanzania,ios,17,0.0,0.09,0.01,59,3.47,0.5652,0.4348,0.0
2024-02-23,Bahamas,ios,2,0.0,0.02,0.01,4,2.0,0.5,0.5,0.0
2024-02-23,Western Sahara,ios,2,0.0,0.02,0.01,4,2.0,0.25,0.75,0.0
2024-02-23,Trinidad & Tobago,ios,6,0.0,0.08,0.01,26,4.33,0.75,0.25,0.0
2024-02-23,Congo - Brazzaville,ios,4,0.0,0.02,0.01,17,4.25,0.7333,0.2667,0.0
2024-02-23,Isle of Man,ios,5,0.0,0.04,0.01,20,4.0,0.6875,0.3125,0.0
2024-02-23,Angola,ios,10,0.0,0.06,0.01,23,2.3,0.75,0.25,0.0
2024-02-23,Niger,ios,3,0.0,0.03,0.01,4,1.33,0.0,1.0,0.0
2024-02-23,Guadeloupe,ios,3,0.0,0.04,0.01,12,4.0,0.3333,0.6667,0.67
2024-02-23,Dominica,ios,1,0.0,0.01,0.01,10,10.0,0.9,0.1,0.0
2024-02-23,Turks & Caicos Islands,ios,2,0.0,0.02,0.01,5,2.5,1.0,0.0,0.0
2024-02-23,Belize,ios,1,0.0,0.01,0.01,4,4.0,0.75,0.25,0.0
2024-02-23,Tunisia,ios,118,1.07,1.46,0.02,743,6.3,0.5908,0.4092,0.19
2024-02-23,Qatar,ios,204,0.0,4.14,0.02,710,3.48,0.6113,0.3887,0.01
